127.0.0.1, 2023-05-27 10:50:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000211
127.0.0.1, 2023-05-27 11:02:21, GET, /movies/static/movies/index的副本.html, HTTP/1.1, 200, 0.000381
127.0.0.1, 2023-05-27 11:02:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000325
127.0.0.1, 2023-05-27 11:02:26, GET, /movies/static/movies/index的副本.html, HTTP/1.1, 304, 0.000295
127.0.0.1, 2023-05-27 11:02:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000551
127.0.0.1, 2023-05-27 11:02:36, GET, /movies/static/movies/index的副本.html, HTTP/1.1, 304, 0.000394
127.0.0.1, 2023-05-27 11:02:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000156
127.0.0.1, 2023-05-27 11:03:21, GET, /movies/static/movies/index的副本.html, HTTP/1.1, 200, 0.000501
127.0.0.1, 2023-05-27 11:03:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000213
127.0.0.1, 2023-05-27 11:18:08, GET, /movies/static/movies/index的副本.html, HTTP/1.1, 200, 0.000465
